Date,Close,High,Low,Open,Volume
2017-01-03,194.46786499023438,194.9772564188593,193.29366676331898,194.29517831857413,91366500
2017-01-04,195.62477111816406,195.771544234157,194.7872909113898,194.79591997439806,78744400
2017-01-05,195.4694061279297,195.62482152111588,194.67509737982633,195.35717558333758,78379000
2017-01-06,196.16871643066406,196.6349361687553,195.03767675239263,195.58161075861804,71559900
2017-01-09,195.52117919921875,196.0478418995289,195.48663659721726,195.90969783980825,46939700
2017-01-10,195.52117919921875,196.37591757368713,195.1326473844866,195.53843732607686,63771900
2017-01-11,196.07379150390625,196.07379150390625,194.7700780208733,195.43488494785686,74650000
2017-01-12,195.58168029785156,195.771625155683,194.22617909330603,195.55577992397886,72113200
2017-01-13,196.03060913085938,196.33278449998426,195.71979152246405,195.75432095711008,62717900
2017-01-17,195.33990478515625,195.7974955523788,194.9513860624016,195.3917055249708,61240800
2017-01-18,195.77159118652344,195.81476286020285,195.03771225640872,195.5902754267279,54793300
2017-01-19,195.04627990722656,195.9873614324876,194.614589683807,195.84921739919972,66608800
2017-01-20,195.76295471191406,196.25507488562653,195.09814785002,195.72841210461988,129168600
2017-01-23,195.2534942626953,195.82332855290545,194.49372838322267,195.76289876862668,75061600
2017-01-24,196.5054473876953,196.91986642396435,195.35714950619618,195.46938003580726,95555300
2017-01-25,198.206298828125,198.206298828125,197.2911042881558,197.45514871677426,84437700
2017-01-26,197.99911499023438,198.32720390092243,197.72282681825598,198.05954479401393,59970700
2017-01-27,197.68829345703125,198.22358531192515,197.50697770100385,198.07681216378148,59711100
2017-01-30,196.4622802734375,197.0234724569335,195.4780268056416,196.99757208995024,79737300
2017-01-31,196.4450225830078,196.50546555958636,195.40033924457632,195.97016053183677,75880800
2017-02-01,196.522705078125,197.36018538702106,195.93561254256352,196.44500397914956,79117700
2017-02-02,196.6522216796875,196.93713888571978,195.83201266640026,196.52270667286717,69657600
2017-02-03,198.00772094726562,198.18903668573455,197.24795491128205,197.55877248141195,80563200
2017-02-06,197.65371704101562,197.99907719005563,197.3169991295408,197.6019163121953,57790100
2017-02-07,197.66232299804688,198.28395797807633,197.47237824447453,198.04221250519157,57931200
2017-02-08,197.92141723632812,198.05091908529695,197.11846625028537,197.66240036424514,51566200
2017-02-09,199.09552001953125,199.39769524671505,197.92132218094457,197.92132218094457,65955200
2017-02-10,199.8812713623047,200.1057587872664,199.11286302687384,199.44095192542116,66015900
2017-02-13,200.96908569335938,201.22810248207932,200.3474506700879,200.37335103154578,55182100
2017-02-14,201.7720489501953,201.78069118787627,200.44244858746455,200.78779556699018,71109000
2017-02-15,202.82542419433594,203.01536903198357,201.50445257060667,201.55625331284767,86785800
2017-02-16,202.65267944335938,203.03256898514903,201.90154259654713,202.85125327687982,84722400
2017-02-17,202.97216796875,202.97216796875,201.9706431832733,201.98791448623507,77204100
2017-02-21,204.1808624267578,204.35353589466885,203.33474003795368,203.34338227454097,88946100
2017-02-22,203.99961853027344,204.22409280015881,203.6110997971794,203.7751442603881,62115200
2017-02-23,204.13775634765625,204.5349041340255,203.3779770357911,204.51764600358885,74615900
2017-02-24,204.39675903320312,204.43991753044466,203.2484610798872,203.29163275127317,82381600
2017-02-27,204.71620178222656,204.88887529033158,204.06003718176973,204.3104117924004,56515400
2017-02-28,204.16363525390625,204.57805430129002,203.7751165736,204.3363087591375,96961900
2017-03-01,207.0214385986328,207.48767158885056,205.80406855924141,205.82133986328705,149158200
2017-03-02,205.7177276611328,206.8401252309685,205.66592692584172,206.83148299232383,70246000
2017-03-03,205.84718322753906,206.0112276351819,205.25144855731665,205.63133809624927,81974300
2017-03-06,205.23422241210938,205.5881984702343,204.62984541100997,205.05290667695087,55391500
2017-03-07,204.62120056152344,205.28600730695996,204.4139844764914,204.9320181020003,65103700
2017-03-08,204.24131774902344,205.17377040129966,204.1031736877656,204.91475357997692,78168800
2017-03-09,204.5002899169922,204.82837869730452,203.53330804761677,204.36214588589857,90683900
2017-03-10,205.2169189453125,205.50183609925148,204.26719509884924,205.45866443820472,81991700
2017-03-13,205.32052612304688,205.36369778529854,204.82840606097443,205.1564817109755,57256800
2017-03-14,204.5348663330078,204.8284257600669,203.9218734621619,204.77661185589673,59880800
2017-03-15,206.30477905273438,206.72784026341827,204.87156418304605,205.10468061947526,96081800
2017-03-16,205.8990020751953,206.52063716195985,205.57092640517246,206.4429360696499,78344000
2017-03-17,205.53738403320312,206.3524945415205,205.53738403320312,206.16172343398011,89002100
2017-03-20,205.3119354248047,205.82354284060926,204.921726603114,205.53738617631493,52537000
2017-03-21,202.6758575439453,206.04035217995005,202.54579233129812,205.918953570994,131809300
2017-03-22,203.15280151367188,203.43895823568278,202.08622699087275,202.71056652408615,97569200
2017-03-23,202.9359893798828,204.07193627568725,202.5631269710424,203.15277354263802,100410300
2017-03-24,202.78858947753906,203.8118044338847,202.00817173901973,203.23950426698332,112504900
2017-03-27,202.58045959472656,202.8406032355756,200.8375196945119,201.11499654168372,87454500
2017-03-28,204.05459594726562,204.47948442330474,202.16423123366232,202.27696322842604,93483900
2017-03-29,204.24537658691406,204.47950720541104,203.54299796287933,203.7684619775269,61950400
2017-03-30,204.8957061767578,205.0951571260625,204.01123635075146,204.18466102851025,56737900
2017-03-31,204.41879272460938,205.08647839915892,204.36675341269142,204.55752452869268,73733100
2017-04-03,204.0633087158203,204.67030184137948,202.8319760235552,204.47086407829386,85546500
2017-04-04,204.1932830810547,204.28000201674138,203.39551915225428,203.7770612989527,56466200
2017-04-05,203.58636474609375,205.84959218884566,203.37824716313773,204.86972342901407,108800600
2017-04-06,204.15870666503906,204.67898084784588,203.28288995874092,203.72513823030408,69135800
2017-04-07,203.95057678222656,204.64428888235662,203.46498228157287,203.90721729507013,74412300
2017-04-10,204.0719451904297,204.869709356444,203.5429912809418,204.08929162901535,67615300
2017-04-11,203.8291015625,203.93315370740874,202.33762573869492,203.6903565483198,88045300
2017-04-12,202.9359893798828,203.7424333456889,202.7105386139413,203.55166222394791,81864400
2017-04-13,201.61793518066406,203.33487525261768,201.61793518066406,202.59780381684874,92880400
2017-04-17,203.40428161621094,203.40428161621094,201.93881833535443,202.1382560907117,68405400
2017-04-18,202.7972412109375,203.3348749236641,202.11220908904167,202.66717600787345,83225800
2017-04-19,202.42442321777344,203.73379506455018,202.1989591743911,203.3609325796608,68699900
2017-04-20,204.0719451904297,204.51419336990097,202.71921407277694,203.0400504136045,92572200
2017-04-21,203.421630859375,204.04597045109915,203.0227553172202,203.99394435703186,110389800
2017-04-24,205.65878295898438,205.86690050339837,203.39555593536755,205.6674495615396,119209900
