Date,Close,High,Low,Open,Volume
2020-02-18,307.72662353515625,308.58566124480814,306.33752704004746,307.52557156291806,57226200
2020-02-19,309.19805908203125,309.8743123972908,308.41214608203063,308.6954428972899,48814700
2020-02-20,307.92767333984375,309.4721116863874,304.9393086876562,308.64960860364215,74163400
2020-02-21,304.756591796875,306.8858911350751,303.93408860649663,306.5751794829659,113788200
2020-02-24,294.649169921875,304.8296393108705,293.5707850824369,295.3071556336412,161088400
2020-02-25,285.7206726074219,296.6505202633772,284.84336760311373,296.0382446469935,218913200
2020-02-26,284.6697082519531,290.7103586583062,283.9386254537844,287.1188663037413,194773800
2020-02-27,271.884765625,284.72459458112405,271.884765625,279.1499964992916,284353500
2020-02-28,270.742431640625,272.23204033235453,260.9457695802284,263.833594623337,384975800
2020-03-02,282.46734619140625,282.53132361972916,269.0974581232793,272.5244617816566,238703600
2020-03-03,274.379638671875,286.8082453931347,271.9396274475978,282.84206278668677,300139100
2020-03-04,285.91259765625,286.1319448399597,277.20344073550206,279.7531390923097,176613400
2020-03-05,276.4084167480469,281.9007705498337,274.1694576163429,278.7113812011502,186366800
2020-03-06,271.83905029296875,273.0453622263488,265.23180535005173,267.9002831419246,228667200
2020-03-09,250.60992431640625,259.71203788804456,249.8971086973447,251.58774146183126,309417300
2020-03-10,263.57769775390625,263.6690622000133,249.94278128953638,260.12327944250404,276444100
2020-03-11,250.7286376953125,257.65576796253566,247.54839710367546,256.5225813507127,255316300
2020-03-12,226.73971557617188,243.69196419793585,226.34674521407393,233.95013117048154,392220700
2020-03-13,246.122802734375,248.09675988860485,227.1143558727971,240.429398147559,329566100
2020-03-16,219.191162109375,234.7725944345364,216.9156266338003,220.40659381646842,297240000
2020-03-17,231.02574157714844,234.10548499816915,216.65060754197967,223.93411978479276,262070500
2020-03-18,219.32823181152344,226.977299433706,208.380101478062,215.90122818946838,327597100
2020-03-19,219.7943115234375,226.0725919909202,212.21835456333,218.64284326233184,289322000
2020-03-20,210.32244873046875,224.72696071707477,210.0466734873275,222.94363004147445,347158800
2020-03-23,204.94485473632812,211.13134505091108,200.63361059089686,209.76168442600684,326025200
2020-03-24,223.5135498046875,224.3868403910806,214.91865078430803,215.48857598678674,235494500
2020-03-25,226.85955810546875,235.64751686488069,220.3881054153029,225.09461646269625,299430300
2020-03-26,240.1059112548828,241.57667533640435,228.9371176727837,229.369162336313,257632800
